Model Name,V_rated,Irated,Package,RthJC IGBT,RthJC Diode,RthCS,Blank,Tjrated,Vref,EonTjmax,hTjmax,kTjmax,xTjmax,EoffTjmax,mTjmax,nTjmax,yTjmax,VtTjmax,aTjmax,bTjmax,Er0Tjmax,d1Tjmax,d2Tjmax,VtdTjmax,adTjmax,bdTjmax,Eon,h,k,x,Eoff,m,n,y,Vt,a,b,Er0,d1,d2,Vtd,ad,bd,Include Model?,
Models_Random,,,,,,,,,,IGBT Parameters at Tjmax,,,,,,,,,,,Diode Parameters at Tjmax,,,,,,IGBT Parameters at 25°C,,,,,,,,,,,Diode Parameters at 25°C,Diode Parameters at 25°C,,,,,,
IRGP20B120UD-E,1200,20,TO-247AD,0.42,0.83,1,,150,600,,59.2413,1.08504,,,16.7156,1.18173,,1.01345,0.51719,0.56625,,47.5617,1.007529,0.511308,0.22204,0.618346,,34.8682,1.094902,,,11.0147,1.192182,,1.517838,0.118706,0.851141,,18.50178,0.986605,0.752522,0.219667,0.551607,1,
IRGI4064D,600,10,TO-220 FullPak,3.29,3.66,0.5,,150,400,,49.9435,0.72321,,,33.7944,0.82283,,0.39098,0.39577,0.57607,,73.4086021,0.402530155,0.505251,0.323814,0.529842,,21.1943,0.850315,,,17.9996,0.820366,,0.56743,0.261663,0.573179,,21.475848,0.390521,0.729334,0.574427,0.337043,0,
IRG4P254S,250,55,TO-247AC,0.64,,1,,150,200,,2.04,1.4332,,,98.09714,1.07451,,0.52978,0.04357,0.71767,,,,,,,,1.06,1.576137,,,33.8248,1.19632,,0.738888,0.032125,0.720815,,,,,,,1,
IRG4RC10KD,600,4,TO-252AA,3.3,7,45,,150,480,,18.9884,1.33671,,,60.4154,1.12655,,0.83769,0.53572,0.67706,,,,0.472854,0.467945,0.480994,,26.1254,1.396185,,,23.0136,1.294895,,1.0902,0.534504,0.572076,,,,0.699049,0.411168,0.401309,1,
IRG4IBC10UD,600,4,TO-220 FullPak,5,7,0.5,,150,480,,99.5767,0.4582,,,30.04528,1.28897,,0.73579,0.6177,0.60788,,,,0.46743,0.461518,0.482314,,75.3395,0.452588,,,14.5545,1.282993,,1.027039,0.51383,0.511664,,,,0.683703,0.414352,0.405175,1,
IRG4BC10UD,600,4,TO-220AB,3.3,7,2,,150,480,,105.2965,0.45102,,,29.99877,1.25528,,0.74625,0.59044,0.5825,,,,0.485117,0.460031,0.482563,,72.5304,0.465387,,,14.4205,1.250915,,1.005675,0.518524,0.493803,,,,0.729999,0.411668,0.378805,1,
IRG4BC10KD,600,4,TO-220AB,3.3,7,2,,150,480,,19.8047,1.31664,,,59.2846,1.15059,,0.79738,0.57165,0.69773,,,,0.477805,0.486423,0.499271,,25.8554,1.364275,,,23.3558,1.251962,,1.027873,0.505407,0.532769,,,,0.68223,0.404997,0.399847,1,
IRG4RC10UD,600,5,TO-252AA,3.3,7,45,,150,480,,100.6367,0.46141,,,30.42932,1.3167,,0.7808,0.5882,0.60522,,,,0.490509,0.478542,0.467846,,73.9348,0.447849,,,14.0622,1.297626,,0.95706,0.532054,0.509131,,,,0.70013,0.416293,0.4085,1,
IRG4RC10SD,600,5,TO-252AA,3.3,7,45,,150,480,,67.3765,0.76953,,,245.67092,1.24356,,0.58721,0.26399,0.66254,,,,0.479717,0.467776,0.477681,,62.4241,0.70467,,,180.8602,1.306955,,0.799721,0.208259,0.639484,,,,0.685768,0.407491,0.407785,1,
